	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
194380	Cereals and potatoes	Breakfast cereals	25.454545454545457	a			45.810810810810814	17.6	1.6	0.0078740157480315	7.6	10.6
194381	Cereals and potatoes	Breakfast cereals	27.272727272727273	b	57.7	19.2	52.64864864864865	14.4	2.3	0.0039370078740157	9.1	10.8
194382	Cereals and potatoes	Breakfast cereals	40.0	c	75.3	14.0	52.054054054054056	22.7	2.9	0.0039370078740157	3.6	5.8
194383	Cereals and potatoes	Breakfast cereals	23.636363636363637	a	75.8	1.6	40.270270270270274	16.2	0.3	0.0078740157480315		6.5
194384			23.636363636363637	a			46.21621621621622	11.8	1.5	0.0078740157480315	12.2	13.7
194387	Cereals and potatoes	Breakfast cereals	38.18181818181818	c	65.6	12.9	48.10810810810811	22.7	1.6	0.0039370078740157	7.5	7.5
194389			21.81818181818182	a			41.72972972972973	11.3	1.1	0.0078740157480315	13.2	10.8
194393			29.09090909090909	b			53.40540540540541	20.0	1.5	0.0748031496062992	5.7	7.7
194394			43.63636363636364	c			50.37837837837838	25.1	4.8	0.015748031496063	7.3	7.3
194395	Cereals and potatoes	Breakfast cereals	45.45454545454545	c	62.9	19.5	52.94594594594595	21.9	5.5	0.165354330708661	6.4	6.9
194396	Cereals and potatoes	Breakfast cereals	45.45454545454545	c	59.3	21.0	53.5945945945946	18.9	7.0	0.0118110236220472	7.5	8.3
194397	Cereals and potatoes	Breakfast cereals	25.454545454545457	a	62.4	17.5	51.67567567567568	17.0	2.0	0.0078740157480315		8.6
194398	Cereals and potatoes	Breakfast cereals	29.09090909090909	b	68.1	12.8	49.0	21.5	1.5	0.0039370078740157	6.3	7.7
194399	Cereals and potatoes	Breakfast cereals	45.45454545454545	c	59.9	21.0	53.94594594594595	21.6	6.5	0.0196850393700787	7.4	8.5
194400			25.454545454545457	a			44.37837837837838	20.0	1.5	0.0275590551181102	12.0	10.0
194401			49.09090909090909	d			50.10810810810811	16.0	10.0	0.0275590551181102	7.8	8.7
194402			25.454545454545457	a			50.94594594594595	12.7	2.3	0.0511811023622047	9.7	12.1
194404	Fruits and vegetables	Vegetables	20.0	a	14.5	5.0	28.83783783783784	10.5	2.0	0.0393700787401575		18.0
194410	Cereals and potatoes	Legumes			50.0		38.13513513513514	1.0		0.00787		24.0
194412	Fruits and vegetables	Vegetables	7.272727272727273	a	50.0	1.7	38.13513513513514	1.0	0.2	0.0039370078740157	11.0	24.0
194413			14.545454545454547	a			33.75675675675676	2.2	0.2	0.0078740157480315	18.0	21.0
194416			14.545454545454547	a			33.75675675675676	2.2	0.2	0.0098425196850393	18.0	21.0
194422	Fruits and vegetables	Vegetables	12.727272727272728	a	60.0	6.0	49.18918918918919	10.0	1.0	0.078740157480315	30.0	20.2
194424			20.0	a			10.18918918918919	6.6	0.3	0.2	4.8	6.3
